Market,Sector,Stock,Bond,Index
0.052,0.049,0.061,0.02,0.05
0.031,0.03,0.042,0.018,0.032
0.065,0.061,0.078,0.025,0.063
0.028,0.027,0.039,0.017,0.029
0.047,0.044,0.059,0.019,0.046
0.07,0.066,0.085,0.027,0.068
0.015,0.014,0.022,0.012,0.016
0.058,0.054,0.071,0.023,0.056
0.041,0.039,0.053,0.018,0.042
0.063,0.06,0.076,0.024,0.061
0.022,0.021,0.033,0.015,0.023
0.055,0.051,0.067,0.021,0.053
0.034,0.033,0.046,0.016,0.035
0.06,0.057,0.074,0.023,0.058
0.018,0.017,0.027,0.013,0.019
0.049,0.046,0.062,0.019,0.048
0.053,0.05,0.066,0.02,0.052
0.037,0.035,0.049,0.017,0.038
0.067,0.063,0.082,0.026,0.065
0.025,0.024,0.036,0.015,0.026
0.059,0.055,0.073,0.022,0.057
0.03,0.029,0.041,0.016,0.031
0.072,0.068,0.089,0.028,0.07
0.019,0.018,0.029,0.013,0.02
0.046,0.043,0.058,0.018,0.047
0.054,0.051,0.068,0.021,0.055
0.027,0.026,0.038,0.015,0.028
0.061,0.058,0.075,0.023,0.059
0.033,0.031,0.045,0.016,0.034
0.048,0.045,0.061,0.019,0.049
0.064,0.06,0.079,0.025,0.062
0.021,0.02,0.031,0.014,0.022
0.057,0.054,0.071,0.022,0.056
0.039,0.037,0.051,0.017,0.04
0.066,0.062,0.081,0.026,0.064
0.017,0.016,0.026,0.012,0.018
0.05,0.047,0.064,0.019,0.051
0.052,0.049,0.067,0.02,0.053
0.036,0.034,0.048,0.016,0.037
0.069,0.065,0.084,0.027,0.067
0.023,0.022,0.034,0.014,0.024
0.045,0.042,0.057,0.018,0.046
0.062,0.059,0.077,0.024,0.06
0.029,0.028,0.04,0.015,0.03
0.056,0.053,0.07,0.021,0.055
0.032,0.03,0.044,0.016,0.033
0.071,0.067,0.087,0.028,0.069
0.02,0.019,0.03,0.013,0.021
0.044,0.041,0.056,0.017,0.045
0.06,0.057,0.074,0.023,0.058
