age,study_hours_per_week,attendance_rate,previous_grade,sleep_hours,final_grade
21,15,0.77,88,7.6,67.64218229
24,25,0.74,78,8,61.68114535
25,17,0.88,61,5.8,53.45921584
21,20,0.88,85,7.4,67.3298815
16,32,0.63,81,8,69.69577771
16,19,0.61,52,7.6,46.68012544
17,24,0.92,53,7.4,62.42704025
23,24,0.96,82,6.2,80.67235329
22,32,0.6,60,7.9,53.65039069
25,31,0.71,82,8.8,73.01463469
18,16,0.79,83,6.7,67.84238811
20,27,0.74,55,8.1,52.04218262
21,12,0.7,50,5.2,46.59291129
18,8,0.61,87,8.3,62.78972923
20,26,0.81,58,5.8,50.05942684
18,20,0.65,74,6.6,56.23514344
20,19,0.82,66,6.2,56.10362538
23,33,0.67,82,5.3,70.90998619
23,24,0.77,82,8.6,64.85614337
25,7,0.87,74,6.5,58.24565688
17,9,0.71,71,7.1,58.42535719
23,9,0.6,77,7,58.90717524
16,5,0.69,85,5.5,69.41392985
22,24,0.61,54,5.8,46.59625124
25,8,0.97,82,5.3,68.57707693
25,29,0.91,74,7,66.66345454
23,24,0.81,88,6,76.89559991
22,10,0.61,75,6.4,55.03050522
25,11,0.72,82,5.4,67.8825605
17,20,0.82,83,8.2,75.7629205
16,12,0.94,56,5.4,55.96688571
17,10,0.67,51,8.9,42.00002742
24,20,0.63,81,5.7,60.33114925
24,22,0.62,57,7.3,54.4325282
19,28,0.78,63,5.2,65.90700012
25,5,0.61,53,8.1,51.60450277
24,15,0.63,78,5.8,50.76907153
23,15,0.92,65,7.1,57.15407121
19,7,0.85,79,8,67.89056269
22,29,0.91,52,5.6,61.58121049
21,7,0.88,69,7.2,61.2301688
17,22,0.7,82,5.9,73.40764489
25,9,0.62,68,8,51.72419755
19,5,0.71,84,7.9,56.39790926
20,33,0.95,80,5.7,78.01102897
24,25,0.63,82,8.4,63.38262658
17,19,0.86,69,5.1,64.20977549
20,22,0.67,70,8.4,59.23479779
16,12,0.81,54,7.2,47.66502657
19,8,0.96,59,6.6,62.78367179
25,22,0.79,50,8,55.92558761
18,33,0.94,76,7.9,71.70118473
16,27,0.94,71,8.9,74.2423662
20,11,0.66,60,6.1,48.49874419
25,14,0.82,71,5,73.85717843
18,15,0.79,83,8.7,61.47268962
23,18,0.69,88,8.4,68.72634383
23,11,0.78,87,7.9,66.4966039
25,30,0.79,89,7.1,71.39422381
24,11,0.73,83,7.8,61.47203817
22,21,0.6,81,8.1,55.91833234
25,21,0.8,57,6.5,52.41000169
19,23,0.87,55,8.1,60.04519366
23,17,0.62,56,8,50.19949113
23,14,0.66,73,7.5,63.62397096
20,27,0.84,72,6.6,65.316999
21,5,0.73,89,7.8,68.64641139
25,27,0.96,81,5,75.82836761
19,28,0.92,87,8.1,72.61760159
22,21,0.69,88,8.6,66.75317677
24,24,0.68,73,6,63.40765227
16,14,0.87,78,5.5,68.80848075
18,21,0.66,86,5.9,68.00623318
23,33,0.8,52,6.2,56.39169566
23,24,1,60,8.5,64.87593233
25,20,0.66,70,7.2,57.68216884
23,15,0.62,50,6.1,48.34571564
19,32,0.96,66,5.6,65.29658008
16,9,0.89,80,6.2,73.03147442
24,28,0.72,53,7.5,54.04075938
23,19,0.76,64,6.3,58.48593616
23,26,0.63,55,6.8,59.78722445
17,19,0.74,60,6.8,51.3453245
17,33,0.6,77,8.3,67.08849205
19,8,0.85,83,6.7,62.02958818
16,29,0.68,58,6.4,56.168931
24,29,0.85,54,7.7,59.13554833
22,21,0.73,89,5.9,78.20201119
20,19,0.62,82,6.9,68.06602475
21,27,0.89,83,6.3,74.02474387
22,20,0.9,57,7.5,49.13601103
18,12,0.76,83,8.5,68.29674138
21,33,0.88,64,6.8,66.03102275
23,19,0.83,63,8.1,59.21876737
24,18,0.99,71,6.8,65.90920442
20,20,0.72,86,7.6,68.73402971
20,30,0.73,62,5.5,61.37558088
23,26,0.69,76,6.7,58.17685624
23,25,0.87,68,8.6,65.74677932
20,30,0.91,87,7.4,86.49069506
25,31,0.81,85,8.1,73.13133998
16,26,0.85,62,7,64.21952329
18,23,0.62,85,7,66.46311747
16,19,0.78,75,8.4,61.55250601
23,34,0.99,87,5.3,79.57926752
17,17,0.74,51,7.3,52.98705408
23,10,0.82,50,8.8,46.4382185
25,27,0.76,65,7.1,66.20971589
24,32,0.99,78,5.8,69.9829734
20,27,0.68,56,8.4,50.20365797
16,17,1,82,6,70.57067076
17,17,0.86,76,7.8,67.12788991
25,29,0.92,70,7.2,70.86348873
24,32,0.78,88,8.8,73.08525411
18,31,0.95,51,7.5,54.99104672
19,17,0.81,66,8.4,56.42821912
17,12,0.83,75,5,63.68194176
18,28,0.97,69,9,70.02416401
23,12,0.73,80,5.3,65.09858319
18,34,0.89,50,6.3,64.28258454
22,16,0.92,71,8.8,64.71303998
16,17,0.79,83,5,64.95961903
25,23,0.8,51,8.3,56.81055892
18,11,0.94,75,8.4,64.67195069
22,32,0.82,88,6.8,89.53512876
22,21,0.71,62,6,53.9299014
18,34,0.79,68,8.2,66.8411092
23,10,0.71,63,6.9,57.01922208
23,7,0.69,63,5.5,50.13563703
16,6,0.86,74,8.7,63.06405837
22,16,0.97,76,8.6,65.01229475
21,31,0.68,69,7,59.10612741
17,29,0.95,89,8.4,73.91622637
20,10,0.79,84,6.7,66.75844777
22,14,0.89,65,7.7,56.87112542
16,25,0.72,87,6.6,73.16956711
22,30,0.8,88,7,73.6287663
21,32,0.68,82,5.8,65.32659866
17,16,0.64,86,8.9,69.12455453
18,6,0.67,84,6.2,71.47721246
17,23,0.8,51,5.4,55.63116777
21,5,0.92,82,5.6,58.77055925
20,31,0.96,80,5.1,79.08048079
16,25,0.69,87,7.9,62.87618328
23,12,0.9,57,7.3,50.91430566
24,5,0.7,82,8.2,65.23869671
25,27,0.83,55,7,56.23735347
21,7,0.65,51,8.2,48.98198451
23,25,0.75,83,7.8,71.43575372
16,8,0.63,80,8.1,60.78641256
25,11,0.8,68,6.6,57.66286471
19,17,0.88,67,7.6,68.64302833
25,12,0.78,68,5.7,57.63034106
17,11,0.74,81,6.3,63.14223979
20,24,0.93,57,5.7,65.64462687
20,20,0.62,71,6.6,63.88721163
22,21,0.76,68,6,67.35672974
24,34,0.78,77,6.6,70.0534061
24,11,0.89,59,8.9,53.89380934
25,18,0.96,54,6.3,58.37655934
18,9,0.71,63,8.9,51.72964775
23,28,0.93,73,7.5,69.61541996
21,27,0.86,81,6.5,71.16652473
21,7,0.6,87,8.4,60.70038669
20,31,0.89,50,7.5,60.78644227
21,33,0.84,68,6,78.10455852
24,30,0.87,81,8.2,69.68871086
21,15,0.83,51,6.7,60.17044274
24,26,0.83,70,6.4,65.52597235
17,14,0.74,64,6.3,60.82290485
17,14,0.98,54,7.8,61.24899017
24,30,0.99,75,6.1,76.25641667
23,29,0.75,69,8.2,69.09964138
16,18,0.93,77,6.2,68.03493892
19,27,0.99,78,7.2,74.33464785
20,34,0.83,58,7,59.9991366
18,25,0.87,62,8.4,64.0501482
16,17,0.63,61,8.6,51.26592108
19,23,1,58,5.7,56.75736208
21,15,0.91,60,7.3,58.41476944
17,16,1,73,8.6,69.1623173
18,14,0.86,74,6.8,64.40374803
20,9,0.61,75,8.7,59.31038896
19,21,0.89,68,6.1,63.49562037
16,21,0.88,68,7.4,58.34379521
22,24,0.84,55,7.7,56.60065034
16,15,0.64,71,5.9,58.15779565
23,25,0.71,59,5.1,58.82408416
18,30,0.91,63,6.7,69.53421695
24,8,0.96,68,8.8,67.50321441
19,14,0.8,73,6.4,58.46809205
16,22,0.89,81,8.1,74.97294357
24,7,0.63,83,5.7,64.95738263
20,26,0.85,64,6.4,65.2174116
18,34,0.94,58,5.6,67.58298475
25,9,0.88,51,7.9,55.3911672
16,18,0.82,72,7.8,57.15983192
19,19,0.94,52,7.8,57.91295194
24,21,0.9,72,6,69.7197284
17,32,0.71,51,7.8,54.49957282
