ID,Income_USD
1,24327.0172
2,21425.71553
3,25072.7708
4,29869.88231
5,21018.73212
6,21018.80114
7,30207.41077
8,25680.49275
9,20052.41998
10,24551.10172
11,20076.72497
12,20067.4434
13,23118.59276
14,15023.09483
15,15599.84775
16,19683.62782
17,17987.52563
18,23455.24618
19,18368.54895
20,16606.33054
21,29529.04853
22,21053.97674
23,22325.96525
24,16565.05049
25,19754.24048
26,22520.57282
27,17497.28989
28,23745.29308
29,19533.22737
30,20778.23347
31,19529.05582
32,31903.00985
33,21967.08674
34,17826.79273
35,25965.10973
36,17254.55197
37,22966.05922
38,14884.35552
39,16888.07094
40,22910.99596
41,25532.13965
42,22794.47945
43,21522.84791
44,20739.16584
45,16387.85191
46,19073.04114
47,20087.8864
48,27212.30243
49,23593.43225
50,15481.35954
51,23501.43575
52,20393.74559
53,19237.47733
54,24892.8342
55,27070.50139
56,26535.95869
57,18623.07152
58,20705.55964
59,23535.20552
60,26771.92454
61,20013.55659
62,21223.58208
63,17654.27081
64,17339.78195
65,25913.13247
66,28889.91946
67,21711.51352
68,26922.20203
69,23678.60567
70,19360.22629
71,23677.46714
72,29959.66672
73,21869.20566
74,30119.51957
75,13043.57532
76,25961.77391
77,22413.29108
78,20747.86295
79,22434.43099
80,14801.53569
81,21079.69687
82,23657.19354
83,29601.45543
84,19857.67689
85,18737.85858
86,19923.36796
87,26451.82475
88,23523.38289
89,19812.0964
90,24407.68905
91,22458.29943
92,26735.00403
93,19141.02816
94,20629.29786
95,20365.10894
96,80000
97,95000
98,120000
99,150000
100,200000
